id,participant_id,session_start_time,session_end_time,session_duration_ms,record_created_at
fd78bd23-3cf7-421e-bdeb-c14a5bfb4b1f,fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:28:00.829+00,2025-11-20 16:28:10.12+00,9291,2025-11-20 16:28:02.231156+00
20b08b71-f6e3-45ca-a318-b2a6881d9e26,fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:27:27.603+00,2025-11-20 16:27:50.572+00,22969,2025-11-20 16:27:29.591439+00
2a313e5e-4e25-4be1-94c9-ed83ebda8ecc,fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:23:39.474+00,2025-11-20 16:26:48.525+00,189051,2025-11-20 16:23:41.070405+00
629db404-f4e6-4ee9-98d1-419673b41937,fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:23:08.415+00,2025-11-20 16:23:30.53+00,22115,2025-11-20 16:23:31.852449+00
20479efd-6636-48f9-83f4-e0923213ee76,fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:23:08.415+00,2025-11-20 16:23:29.747+00,21332,2025-11-20 16:23:09.530918+00
c1de6a7f-4114-4859-838a-34c7e41a3960,151939c4-8aae-490b-92eb-c7d353a4a95c,2025-11-18 18:23:28.407+00,2025-11-18 18:23:41.424+00,13017,2025-11-18 18:23:29.322114+00
5a7e5196-6296-4564-8e79-c79060bc7bdd,151939c4-8aae-490b-92eb-c7d353a4a95c,2025-11-18 18:17:25.262+00,2025-11-18 18:22:39.976+00,314714,2025-11-18 18:17:26.103847+00
7d6691d2-b115-4c31-88bd-c3d1e3256616,5c4cab45-aeba-4c55-a4c4-6b227b569474,2025-11-17 17:16:00.733+00,,,2025-11-17 17:16:01.472555+00
500bd18d-317d-41d6-9a3a-5ba1942b9f7f,5c4cab45-aeba-4c55-a4c4-6b227b569474,2025-11-17 17:13:24.945+00,2025-11-17 17:15:24.378+00,119433,2025-11-17 17:13:25.275687+00
d2ec206c-3170-4577-8fa4-62a36f7b64c7,5c4cab45-aeba-4c55-a4c4-6b227b569474,2025-11-17 17:13:24.945+00,2025-11-17 17:15:20.45+00,115505,2025-11-17 17:15:28.154421+00
