id,participant_id,q11_budget,completed_at
fe2704b0-30f1-4a67-91c2-a034af66c2d7,fe4a79bb-642e-49d8-920a-a5f39035ffe3,Over €800,2025-11-20 16:23:08.15456+00
ae9c09f8-42eb-4e70-b0aa-09e151415f4f,151939c4-8aae-490b-92eb-c7d353a4a95c,€600-799,2025-11-18 18:17:25.690481+00
08f476f3-d31b-451b-b7ce-04fe6f787198,5c4cab45-aeba-4c55-a4c4-6b227b569474,€450-599,2025-11-17 17:13:24.879267+00
f55c5695-d676-4083-90a7-e1da75e2ee41,2bc7c0dd-423b-4c5c-bbff-fd89aa61ae8a,€150-299,2025-11-16 19:57:03.504302+00
95ebee41-fbf7-4099-85e2-f9f566bf3c1a,e2f70344-8588-468c-9dc2-8c2993f5b6c9,€600-799,2025-11-15 23:30:13.982834+00
bd8bfb2b-ba03-43a7-9409-ab6efa3af8ae,82e40cf7-aadd-46a9-a1b5-f68aed30f6af,€150-299,2025-11-15 06:39:26.179167+00
19df2261-8b25-4a4e-98f8-213f8989a938,233c60f2-995c-4779-970d-dbbbd7c1da52,€600-799,2025-11-14 23:16:45.070278+00
ff40c410-251c-446f-bab9-33a181089fa6,88584cfe-a550-4209-a1f3-be628bb2647b,€300-449,2025-11-13 16:30:35.489397+00
84fba2d1-3d0d-4d92-86b3-4a64e0f94b4b,25e47297-047a-4582-bc17-c13f5b2ef07b,€450-599,2025-11-13 12:58:29.311522+00
331bcabf-d9f9-4d59-9f8c-50d9e0b5881c,f668df6c-a949-40d0-8ff9-840a65e676a2,€150-299,2025-11-12 20:50:27.113325+00
0006780a-c8b2-4334-b1c9-da1ef025fc54,76ca052a-413b-426f-bf8e-5bc80d00c05a,€150-299,2025-11-12 20:13:33.980474+00
750c6081-8eb1-4e07-b5ca-e3e926972a4b,eb2efe5b-53d6-4751-9ba5-2004d1234e28,€150-299,2025-11-12 15:36:49.691921+00
d958a0d6-9b64-4dba-81bb-c2277fdfc5cc,b5a7af15-f889-4b20-b58c-192fe764f0b6,€300-449,2025-11-11 18:50:55.09989+00
08e10e80-1c58-4f2e-8f5c-d96396a84733,d7c7e6ac-408e-462d-8c9a-5f27b58b5aa8,€450-599,2025-11-11 16:00:42.495255+00
c492b78d-6067-4071-a5ac-49009160afe2,0ba4f0a8-673f-4054-80e0-690aaf497b51,€450-599,2025-11-11 03:10:00.06837+00
89d956a8-1484-4e02-9879-a6b0a14c5a9d,0ba4f0a8-673f-4054-80e0-690aaf497b51,€450-599,2025-11-11 03:08:52.053916+00
c2dd06be-b062-49ee-a33d-9dbd55e1288d,0ba4f0a8-673f-4054-80e0-690aaf497b51,€450-599,2025-11-11 03:08:34.307695+00
bb5c8078-0d87-4403-b58b-4b31131549a2,548569b2-6aeb-4403-9dfe-4b84cd9cbf25,€150-299,2025-11-10 22:31:14.471017+00
d4d8817b-b313-4ea9-b637-5c56a0124424,548569b2-6aeb-4403-9dfe-4b84cd9cbf25,€150-299,2025-11-10 22:30:49.44762+00
a1909042-84cb-4c1f-836a-c40e49a09db7,b1215362-ebe0-4d15-b54b-5b79916c04f7,Over €800,2025-11-10 21:30:48.302997+00
b43483f1-4f7f-40ff-a6f4-2e1e16b1bee6,e483224e-1a8b-49ed-8bd7-42e5478ff6b0,€300-449,2025-11-10 16:23:53.681374+00
6a9c17c4-49d4-4eb0-828b-ae220b5a86c0,9e7360ab-bdd9-40a7-a7f1-83fa542060b0,Over €800,2025-11-10 15:26:45.949103+00
af5ee0cf-5fb9-496a-8a78-38743437a910,1b76fc54-4a3b-44d3-a5b2-4211bebdb5d2,€450-599,2025-11-10 13:55:54.127831+00
abe80f64-7edc-4d43-b650-e120415422c0,ca9b0948-8403-4218-8775-d36126f6cb02,Under €150,2025-11-09 13:33:39.970192+00
c9616b47-61cc-4383-9be0-b63f534a98e0,2c298a5e-7070-4fd7-a6fe-ff3907029e8c,€600-799,2025-11-09 12:17:20.020105+00
a96c87e4-b632-42aa-b532-5944a9d8ade0,2c298a5e-7070-4fd7-a6fe-ff3907029e8c,€600-799,2025-11-09 12:16:59.691731+00
bb879b17-ac13-43d9-b3b4-6b6c1155d870,21121fd2-00ef-4b2a-974f-823f26f3f7fd,Over €800,2025-11-08 13:31:16.716906+00
e1981cab-e2cf-4c03-9165-663d7a511042,21121fd2-00ef-4b2a-974f-823f26f3f7fd,Over €800,2025-11-08 13:28:24.631875+00
8edb32b1-5fa6-4d21-88f6-d5f4097d8e34,21121fd2-00ef-4b2a-974f-823f26f3f7fd,Over €800,2025-11-08 13:25:23.088201+00
fd76061d-d067-4517-9ef2-4dfe203e4265,090b95b5-f52a-4e45-8665-1cc819388638,€450-599,2025-11-07 15:05:24.138584+00
6bc850ca-1bd3-4b36-b022-0f41be8012f2,47ead152-a4ca-406f-b621-4baca17ac0b0,€600-799,2025-11-07 13:53:09.483603+00
